generation,best_cost
0,13337.482097922893
1,13093.558318424975
2,12768.791224725
3,12193.535071030787
4,12193.535071030787
5,12032.052480315273
6,11652.654970894675
7,11477.992938590362
8,11091.751480272087
9,11091.751480272087
10,10980.134606824053
11,10980.134606824053
12,10980.134606824053
13,10491.999360637343
14,10491.999360637343
15,10491.999360637343
16,10449.218212541578
17,10449.218212541578
18,10342.734922948173
19,10342.734922948173
20,10342.734922948173
21,10256.026557215815
22,10256.026557215815
23,10048.969948407088
24,9916.836899034704
25,9916.836899034704
26,9677.791076422312
27,9677.791076422312
28,9677.791076422312
29,9677.791076422312
30,9625.585057808039
31,9598.079872196162
32,9598.079872196162
33,9598.079872196162
34,9551.904983586202
35,9551.904983586202
36,9551.904983586202
37,9485.49069480312
38,9260.653142359537
39,9260.653142359537
40,9260.653142359537
41,9260.653142359537
42,9260.653142359537
43,9201.774063771318
44,9201.774063771318
45,9201.774063771318
46,9201.774063771318
47,9201.774063771318
48,9201.774063771318
49,9201.774063771318
50,9201.774063771318
51,9201.774063771318
52,9201.774063771318
53,9201.774063771318
54,9201.774063771318
55,9201.774063771318
56,9201.774063771318
57,9201.774063771318
58,9201.774063771318
59,9201.774063771318
60,9201.774063771318
61,9201.774063771318
62,9201.774063771318
63,9201.774063771318
