generation,best_cost
0,10345.216881110568
1,5737.470745201672
2,5737.470745201672
3,5728.506091576388
4,5728.506091576388
5,5728.506091576388
6,5728.506091576388
7,5728.506091576388
8,5728.506091576388
9,5698.255763688161
10,5698.255763688161
11,5698.255763688161
12,5698.255763688161
13,5698.255763688161
14,5698.255763688161
15,5698.255763688161
16,5639.210900747215
17,5639.210900747215
18,5639.210900747215
19,5639.210900747215
20,5639.210900747215
21,5639.210900747215
22,5639.210900747215
23,5639.210900747215
24,5639.210900747215
25,5639.210900747215
26,5639.210900747215
27,5639.210900747215
28,5639.210900747215
29,5639.210900747215
30,5639.210900747215
31,5639.210900747215
32,5639.210900747215
33,5634.117876237875
34,5634.117876237875
35,5634.117876237875
36,5634.117876237875
37,5634.117876237875
38,5634.117876237875
39,5634.117876237875
40,5634.117876237875
41,5634.117876237875
42,5634.117876237875
43,5634.117876237875
44,5634.117876237875
45,5634.117876237875
46,5634.117876237875
47,5634.117876237875
48,5634.117876237875
49,5634.117876237875
50,5634.117876237875
51,5634.117876237875
52,5634.117876237875
53,5634.117876237875
