generation,best_cost
0,12580.45249932632
1,8882.156163518759
2,8865.667969321934
3,8865.667969321934
4,8865.667969321934
5,8859.001506732548
6,8859.001506732548
7,8859.001506732548
8,8859.001506732548
9,8855.218793706448
10,8855.218793706448
11,8855.218793706448
12,8855.218793706448
13,8855.218793706448
14,8855.218793706448
15,8855.218793706448
16,8855.218793706448
17,8855.218793706448
18,8855.218793706448
19,8855.218793706448
20,8855.218793706448
21,8855.218793706448
22,8855.218793706448
23,8855.218793706448
24,8855.218793706448
25,8855.218793706448
26,8855.218793706448
27,8855.218793706448
28,8855.218793706448
29,8855.218793706448
