generation,best_cost
0,9271.718214413475
1,7978.579025394143
2,7558.515364957581
3,7379.269908191958
4,7155.558585504317
5,6960.303358803973
6,6934.927807497115
7,6934.24387872154
8,6934.24387872154
9,6934.24387872154
10,6934.24387872154
11,6868.173925529772
12,6738.948600207961
13,6628.3839330625915
14,6552.443847942983
15,6552.443847942983
16,6552.443847942983
17,6552.443847942983
18,6552.443847942983
19,6483.650662187698
20,6483.650662187698
21,6427.566133150591
22,6427.566133150591
23,6427.566133150591
24,6427.566133150591
25,6427.566133150591
26,6427.566133150591
27,6427.566133150591
28,6427.566133150591
29,6427.566133150591
30,6427.566133150591
31,6427.566133150591
32,6427.566133150591
33,6334.083530399996
34,6324.939967900544
35,6324.939967900544
36,6229.808424666881
37,6197.923586322066
38,6102.792043088404
39,6102.792043088404
40,6102.792043088404
41,6102.792043088404
42,6102.792043088404
43,6102.792043088404
44,6081.358068148998
45,6081.358068148998
46,6081.358068148998
47,6081.358068148998
48,6081.358068148998
49,6081.358068148998
50,6081.358068148998
51,6081.358068148998
52,6081.358068148998
53,6081.358068148998
54,6081.358068148998
55,6081.358068148998
56,6081.358068148998
57,6080.401729117231
58,6080.401729117231
59,6080.401729117231
60,6080.401729117231
61,6080.401729117231
62,6080.401729117231
63,6080.401729117231
64,6080.401729117231
65,6080.401729117231
66,6080.401729117231
67,6080.401729117231
68,6080.401729117231
69,6080.401729117231
70,6080.401729117231
71,6080.401729117231
72,6080.401729117231
73,6080.401729117231
74,6080.401729117231
75,6080.401729117231
76,6080.401729117231
77,6080.401729117231
