generation,best_cost
0,21910.046056419884
1,20799.29618080989
2,20799.29618080989
3,20799.29618080989
4,19736.14408060984
5,19736.14408060984
6,19736.14408060984
7,19736.14408060984
8,19736.14408060984
9,19736.14408060984
10,19736.14408060984
11,19736.14408060984
12,19721.152239896837
13,19036.08962873932
14,19036.08962873932
15,19036.08962873932
16,19036.08962873932
17,19036.08962873932
18,19036.08962873932
19,19036.08962873932
20,18743.13224142645
21,18743.13224142645
22,18743.13224142645
23,18743.13224142645
24,18743.13224142645
25,18743.13224142645
26,18743.13224142645
27,18743.13224142645
28,18743.13224142645
29,18743.13224142645
30,18743.13224142645
31,18743.13224142645
32,18743.13224142645
33,18743.13224142645
34,18743.13224142645
35,18743.13224142645
36,18743.13224142645
37,18743.13224142645
38,18604.618179562123
39,18604.618179562123
40,18604.618179562123
41,18527.67579409752
42,18527.67579409752
43,18527.67579409752
44,18248.757044713017
45,18248.757044713017
46,18248.757044713017
47,18248.757044713017
48,18248.757044713017
49,18248.757044713017
50,18248.757044713017
51,18248.757044713017
52,18248.757044713017
53,18248.757044713017
54,18248.757044713017
55,18248.757044713017
56,18248.757044713017
57,18248.757044713017
58,18248.757044713017
59,18248.757044713017
60,18190.320087994813
61,18123.61641341562
62,18123.61641341562
63,18123.61641341562
64,18003.04543699407
65,18003.04543699407
66,18003.04543699407
67,18003.04543699407
68,18003.04543699407
69,18003.04543699407
70,18003.04543699407
71,18003.04543699407
72,18003.04543699407
73,18003.04543699407
74,18003.04543699407
75,18003.04543699407
76,18003.04543699407
77,18003.04543699407
78,18003.04543699407
79,18003.04543699407
80,18003.04543699407
81,18003.04543699407
82,18003.04543699407
83,18003.04543699407
84,18003.04543699407
